"Date","avg_PRCP","avg_TAVG","avg_TMAX","avg_TMIN","Price"
2012-01-01,0.0557142857142857,81.5727699530516,91.3070866141732,71.7708333333333,2307.71428571429
2013-01-01,0.12,82.5213675213675,92.9230769230769,71.625,2275.45454545455
2014-01-01,0.566,81.0263157894737,NA,71.7333333333333,2819.5
2015-01-01,0.201428571428571,81.8461538461538,90.3913043478261,72.3150684931507,2921.14285714286
2016-01-01,0.0211111111111111,83.2159624413146,93.2272727272727,73.0373134328358,2952.35
2017-01-01,0.28625,82.5673076923077,92.5522388059701,72.9097744360902,2195.90476190476
2018-01-01,0.748333333333333,82.1178707224335,91.68,72.0930232558139,1952
2019-01-01,0.150555555555556,84.152,93.252808988764,74.8444444444444,2263.31818181818
2020-01-01,0.140909090909091,82.806338028169,93.7114427860697,72.4567307692308,2603.13636363636
2021-01-01,0.270967741935484,82.7716535433071,91.6491228070175,74.1179487179487,2391.45
2022-01-01,NA,83.3535353535353,93.7183098591549,71.8627450980392,2467.42857142857
2023-01-01,0.235714285714286,83.1752988047809,93.4059405940594,73.005376344086,2541
2024-01-01,0.785789473684211,84.1166666666667,94.2792452830189,74.6707317073171,4947.68
1995-02-01,0.147142857142857,84.8103448275862,95.6176470588235,76.2307692307692,1510.55
1996-02-01,NA,84.2857142857143,NA,NA,1369.80952380952
1997-02-01,0,83.42,93.7,74.0714285714286,1372.7
1998-02-01,0.04875,85.5964912280702,94.4324324324324,77.1,1640.85
1999-02-01,NA,83.6458333333333,92.4545454545455,74.7857142857143,1408.5
2000-02-01,NA,86,NA,NA,859.142857142857
2001-02-01,0.07,82.8823529411765,93.7777777777778,75.225,1157
2002-02-01,0.0511111111111111,84.1272727272727,94.5263157894737,76.325,1491.8
2003-02-01,0.0316,83.4651162790698,93.0454545454545,76.8666666666667,2239.2
2004-02-01,0.145263157894737,82.2790697674419,92.6388888888889,72.3103448275862,1569.15
2005-02-01,0.0186842105263158,85.38,93.8095238095238,78.0526315789474,1634.6
2006-02-01,0.401428571428571,82.8524590163934,92.1052631578947,74.8918918918919,1545.15
2007-02-01,0.25,84.5384615384615,92.0833333333333,77.0666666666667,1813.95
2008-02-01,0.2,83.8181818181818,91,78.1666666666667,2523
2009-02-01,0.1244,83.6722222222222,92.6339285714286,75.2772277227723,2647.6
2010-02-01,0.6892,84.7267080745342,94.5257731958763,76.078431372549,3276.55
2011-02-01,0.550869565217391,81.0555555555556,89.8,71.4,3472.25
2012-02-01,0.307272727272727,82.0852272727273,91.4347826086957,73.552380952381,2356.2380952381
2013-02-01,0.751333333333333,83.9533333333333,94.6034482758621,74.527027027027,2197.65
2014-02-01,0.355,81.8608695652174,93.1052631578947,73.3333333333333,2994.4
2015-02-01,0.284545454545455,82.9904761904762,96.3333333333333,74.9913043478261,2946.8
2016-02-01,0.0833333333333333,86.0261437908497,96.28,76.2258064516129,2916.28571428571
2017-02-01,0.267666666666667,84.2608695652174,94.1081081081081,75.4055944055944,2034.15
2018-02-01,0.283846153846154,84.7629310344828,94.6745562130178,76.4347826086957,2122.85
2019-02-01,0.441515151515152,84.524,93.5873015873016,75.8618421052632,2255.75
2020-02-01,NA,85.8177570093458,95.9712643678161,76.3355263157895,2716.15
2021-02-01,0.695454545454545,84.4709677419355,93.5193798449612,76.4230769230769,2405.55
2022-02-01,0.196666666666667,84.8859060402685,94.1916666666667,76.4044943820225,2550.95
2023-02-01,0.208181818181818,84.2829268292683,93.489932885906,75.8776978417266,2587.35
2024-02-01,0.156923076923077,85.9252669039146,96.3734939759036,76.8185840707965,5640.09523809524
1995-03-01,0.245932203389831,82.3846153846154,91.6265060240964,74.2666666666667,1484.91304347826
1996-03-01,NA,84,90.5,NA,1338.61904761905
1997-03-01,0.313148148148148,83.2695652173913,92.3333333333333,74.7432432432432,1523.6
1998-03-01,0.252,86.8958333333333,96.3461538461538,78.28,1719.18181818182
1999-03-01,NA,83.734693877551,92.1111111111111,74.9512195121951,1313.26086956522
2000-03-01,0.765,83.71875,92.5555555555556,76.4666666666667,932.826086956522
2001-03-01,0.252857142857143,82.8378378378378,90.5833333333333,75.4444444444444,1124.45454545455
2002-03-01,0.228333333333333,83.53125,91.75,74.7391304347826,1592.05
2003-03-01,0.0454285714285714,84.0298507462687,94.2340425531915,75.3265306122449,1994.61904761905
2004-03-01,0.0692537313432836,83.6060606060606,93.7831325301205,75.3375,1504.4347826087
2005-03-01,0.0774074074074074,83.4545454545455,93.3783783783784,75.2424242424242,1757.63636363636
2006-03-01,0.39125,82.4210526315789,92.469696969697,74.296875,1544.17391304348
2007-03-01,0.032,84.6341463414634,92.7272727272727,76.7096774193548,1924.18181818182
2008-03-01,NA,83.5,91.2,76,2670.4
2009-03-01,0.301923076923077,84.3311688311688,91.8823529411765,75.4225352112676,2509.90909090909
2010-03-01,0.2528,84.7971698113208,93.2847682119205,75.8869565217391,3089.65217391304
2011-03-01,0.377333333333333,83.4897959183673,91.219512195122,73.1081081081081,3392.91304347826
2012-03-01,0.186923076923077,83.8445595854922,92.1284403669725,75.8181818181818,2359.27272727273
2013-03-01,0.345555555555556,84.0294117647059,93.0510204081633,74.7741935483871,2153.4
2014-03-01,0.195,82.3440860215054,93.1666666666667,74.5588235294118,3041.71428571429
2015-03-01,0.421041666666667,83.6196319018405,92.7571428571429,74.5151515151515,2882.18181818182
2016-03-01,0.315098039215686,84.8616352201258,94.7076923076923,75.4891304347826,3073.63636363636
2017-03-01,0.339672131147541,83.6949152542373,93.9259259259259,75.5952380952381,2057.86956521739
2018-03-01,0.212957746478873,83.219696969697,92.4888888888889,75.4556213017752,2503.90476190476
2019-03-01,0.2172,84.1751824817518,93.955223880597,75.5202312138728,2200.42857142857
